#Iteracion	Raiz	Valor en la funcion	Error aproximado
146		3.945594  	1.823112  	0.117968
147		3.950168  	1.791293  	0.115778
148		3.954661  	1.760030  	0.113632
149		3.959077  	1.729312  	0.111528
150		3.963415  	1.699130  	0.109465
151		3.967678  	1.669475  	0.107442
152		3.971867  	1.640338  	0.105458
153		3.975983  	1.611709  	0.103513
154		3.980027  	1.583580  	0.101606
155		3.984000  	1.555941  	0.099736
156		3.987904  	1.528785  	0.097902
157		3.991741  	1.502103  	0.096104
158		3.995510  	1.475887  	0.094340
159		3.999214  	1.450128  	0.092610
160		4.002853  	1.424819  	0.090913
161		4.006428  	1.399952  	0.089249
162		4.009942  	1.375518  	0.087617
163		4.013394  	1.351511  	0.086016
164		4.016786  	1.327923  	0.084445
165		4.020119  	1.304747  	0.082905
166		4.023394  	1.281975  	0.081393
167		4.026611  	1.259601  	0.079911
168		4.029773  	1.237617  	0.078456
169		4.032879  	1.216016  	0.077029
170		4.035932  	1.194793  	0.075629
171		4.038931  	1.173940  	0.074256
172		4.041878  	1.153451  	0.072908
173		4.044773  	1.133320  	0.071586
174		4.047618  	1.113540  	0.070289
175		4.050414  	1.094105  	0.069016
176		4.053160  	1.075010  	0.067766
177		4.055859  	1.056248  	0.066541
178		4.058511  	1.037813  	0.065338
179		4.061116  	1.019700  	0.064158
180		4.063677  	1.001903  	0.062999
181		4.066192  	0.984416  	0.061863
182		4.068664  	0.967235  	0.060747
183		4.071092  	0.950354  	0.059652
184		4.073478  	0.933767  	0.058578
185		4.075823  	0.917470  	0.057523
186		4.078126  	0.901457  	0.056489
187		4.080390  	0.885724  	0.055473
188		4.082614  	0.870265  	0.054476
189		4.084799  	0.855076  	0.053497
190		4.086946  	0.840153  	0.052537
191		4.089056  	0.825489  	0.051594
192		4.091129  	0.811082  	0.050669
193		4.093166  	0.796926  	0.049760
194		4.095167  	0.783017  	0.048869
195		4.097133  	0.769351  	0.047993
196		4.099065  	0.755923  	0.047134
197		4.100964  	0.742730  	0.046291
198		4.102829  	0.729767  	0.045463
199		4.104662  	0.717030  	0.044650
200		4.106463  	0.704516  	0.043852
201		4.108232  	0.692220  	0.043069
202		4.109970  	0.680138  	0.042300
203		4.111679  	0.668268  	0.041545
204		4.113357  	0.656604  	0.040803
205		4.115006  	0.645145  	0.040076
206		4.116627  	0.633885  	0.039361
207		4.118219  	0.622821  	0.038660
208		4.119783  	0.611951  	0.037971
209		4.121320  	0.601271  	0.037295
210		4.122830  	0.590777  	0.036631
211		4.124314  	0.580466  	0.035979
212		4.125772  	0.570335  	0.035339
213		4.127205  	0.560381  	0.034711
214		4.128612  	0.550600  	0.034094
215		4.129995  	0.540990  	0.033488
216		4.131354  	0.531548  	0.032893
217		4.132689  	0.522271  	0.032308
218		4.134001  	0.513156  	0.031735
219		4.135290  	0.504200  	0.031172
220		4.136557  	0.495400  	0.030618
221		4.137801  	0.486753  	0.030075
222		4.139024  	0.478258  	0.029542
223		4.140226  	0.469911  	0.029018
224		4.141406  	0.461709  	0.028504
